"pages","aidsitetitleprecedingsiblingtextselftext","","dividwrapperhead1link1precedingsiblingtextselftext","aidtoolipprecedingsiblingtextselftext","","asideiditemcommentsprecedingsiblingdiv1span1precedingsiblingp1textselftext","","","","","","","","","","","","","","","","","sectionidb5414980015591330510100precedingsiblingprecedingsiblingp1textfollowingsiblingtext1selftext","","","","","","","","","","","","","","","","piditemphotodescriptionprecedingsiblingdiv1p1br1followingsiblingtext1selftext"
"20.html","SPORTS","|","PAOK lose in Amsterdam, Olympiakos reach Champions League play-offs | Sports | ekathimerini.com","Developed by EWORX S.A.","|","PAOK Thessaloniki was eliminated from Champions League qualifying after losing to Ajax Amsterdam in the second leg of their third qualifying round tie.","Ajax, semi-finalists last season, came from behind to beat PAOK 3-2 for a 5-4 aggregate win over the Greeks.","Ajax youth academy reject Diego Biseswar fired PAOK ahead with a thumping shot at the Johan Cruyff Arena before Dusan Tadic, having had a penalty saved, equalised with another one before halftime.","PAOK keeper Alexandros Paschalakis pulled off a string of superb saves but was undone by a Nicolas Tagliafico header and another Tadic penalty before Biseswar set up a tense finish with a stoppage-time effort.","Meanwhile Tuesday, Olympiakos Piraeus beat Istanbul Basaksehir 2-0 for a 3-0 aggregate triumph over the Turkish side. [Reuters]","","","","","","","","","","","","","Ajax, semi-finalists last season, came from behind to beat PAOK 3-2 for a 5-4 aggregate win over the Greeks.","Ajax youth academy reject Diego Biseswar fired PAOK ahead with a thumping shot at the Johan Cruyff Arena before Dusan Tadic, having had a penalty saved, equalised with another one before halftime.","PAOK keeper Alexandros Paschalakis pulled off a string of superb saves but was undone by a Nicolas Tagliafico header and another Tadic penalty before Biseswar set up a tense finish with a stoppage-time effort.","Meanwhile Tuesday, Olympiakos Piraeus beat Istanbul Basaksehir 2-0 for a 3-0 aggregate triumph over the Turkish side. [Reuters]","","","","","","","","","","","","","Ajax, semi-finalists last season, came from behind to beat PAOK 3-2 for a 5-4 aggregate win over the Greeks."
"54.html","BUSINESS","|","Cash is to be king no more | Business | ekathimerini.com","Developed by EWORX S.A.","|","The government is spearheading an effort to significantly reduce the amount of cash still being used in transactions between taxpayers and businesses as well as among firms, aiming to reduce tax evasion and bolster state revenues.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29.html","COMMENT","|","Unavoidable comparison | Comment | ekathimerini.com","Developed by EWORX S.A.","|","Elafonisos, Mount Hymettus, Evia: Within just a few days, three fires ? with the latter being the most destructive ? tested the adequacy, limits and endurance of the state apparatus, on issues ranging from firefighting to civil protection.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57.html","NEWS","|","Rock slide in Zakynthos, one woman injured, three feared missing | News | ekathimerini.com","Developed by EWORX S.A.","|","At least one woman has been injured and three people are feared missing after a rock slide at the famous Shipwreck beach on the Ionian island of Zakynthos on Thursday.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18.html","SPORTS","|","Olympiacos basketball coach David Blatt diagnosed with MS | Sports | ekathimerini.com","Developed by EWORX S.A.","|","Former Cleveland Cavaliers coach David Blatt says he has been diagnosed with multiple sclerosis.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31.html","COMMENT","|","The reason why I have returned to the homeland | Comment | ekathimerini.com","Developed by EWORX S.A.","|","After having spent nearly five decades in New York, where I studied, made a career, and created a family, I decided to return to my homeland, at the invitation of Prime Minister Kyriakos Mitsotakis, to undertake the responsibility of Greece?s relations with Greeks Living Abroad.","I came to this admittedly difficult decision for two main reasons: First, because I profoundly believe in Kyriakos Mitsotakis, both as a politician and as a person. Second, because I consider this to be a rare opportunity to work, as I have done from the position of Publisher-Editor of The National Herald for forty years, with the goal of strengthening the troubled relations between the mother country and Greeks abroad.","To be specific: For decades the homeland treated Greeks living abroad in a haphazard fashion, unwilling to take advantage of the opportunities offered by them. Instead of trying hard to maintain close relationships with them, the country did exactly the opposite, contrary to its own direct interests.","The bitter truth is that the country did not show any concern, as it should have, for Greeks living abroad. The majority of Greek politicians were content to extend flatteries and empty promises to us.","","","","","","","","","","","","","","I came to this admittedly difficult decision for two main reasons: First, because I profoundly believe in Kyriakos Mitsotakis, both as a politician and as a person. Second, because I consider this to be a rare opportunity to work, as I have done from the position of Publisher-Editor of The National Herald for forty years, with the goal of strengthening the troubled relations between the mother country and Greeks abroad.","To be specific: For decades the homeland treated Greeks living abroad in a haphazard fashion, unwilling to take advantage of the opportunities offered by them. Instead of trying hard to maintain close relationships with them, the country did exactly the opposite, contrary to its own direct interests.","The bitter truth is that the country did not show any concern, as it should have, for Greeks living abroad. The majority of Greek politicians were content to extend flatteries and empty promises to us.","","","","","","","","","","","","","","I came to this admittedly difficult decision for two main reasons: First, because I profoundly believe in Kyriakos Mitsotakis, both as a politician and as a person. Second, because I consider this to be a rare opportunity to work, as I have done from the position of Publisher-Editor of The National Herald for forty years, with the goal of strengthening the troubled relations between the mother country and Greeks abroad."
"4.html","NEWS","|","Iran tanker heads to Greece after release, Iran warns US against seizure attempt | News | ekathimerini.com","Developed by EWORX S.A.","|","An Iranian tanker sailed through the Mediterranean toward Greece on Monday after it was released from detention off Gibraltar, and Tehran said that any at US move to seize the vessel again would have ?heavy consequences.?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14.html","LIFE","|","Shard reveals how Cyprus' ancient kingdoms managed economy | Life | ekathimerini.com","Developed by EWORX S.A.","|","An archaeologist says the discovery of a small clay shard inscribed with a partial inventory of goods at a 2,500-year-old citadel suggests that Cyprus' ancient city states "more than likely" managed their economies using a homegrown system, not an imported one.","University of Cyprus Professor Maria Iacovou told The Associated Press Wednesday the recent discovery at the ancient kingdom of Paphos on Cyprus' southwestern coast refutes the notion that Cypriot city states managed their economies based on systems brought over from foreign kingdoms.","The inscription on the shard was in a Greek syllabic script that was the official writing system of six of Cyprus' seven ancient city states from the 8th century B.C.","The only other place where similar inventory inscriptions were discovered was at the Cypriot city state of Idalion.","","","","","","","","","","","","","","University of Cyprus Professor Maria Iacovou told The Associated Press Wednesday the recent discovery at the ancient kingdom of Paphos on Cyprus' southwestern coast refutes the notion that Cypriot city states managed their economies based on systems brought over from foreign kingdoms.","The inscription on the shard was in a Greek syllabic script that was the official writing system of six of Cyprus' seven ancient city states from the 8th century B.C.","The only other place where similar inventory inscriptions were discovered was at the Cypriot city state of Idalion.","","","","","","","","","","","","","","University of Cyprus Professor Maria Iacovou told The Associated Press Wednesday the recent discovery at the ancient kingdom of Paphos on Cyprus' southwestern coast refutes the notion that Cypriot city states managed their economies based on systems brought over from foreign kingdoms."
"7.html","NEWS","|","EMY warns of gale-force winds in Aegean | News | ekathimerini.com","Developed by EWORX S.A.","|","Greece's National Meteorological Service (EMY) on Monday issued an emergency bulletin, heralding gale-force winds in the Aegean later in the day.","EMY warned that northwesterly winds will pick up during the day and reach 7 to 8 on the Beaufort scale.","The regions most affected will be the central and southeastern Aegean, the Icarian and Cretan Seas and the Strait of Kafireas (south of Evia).","","","","","","","","","","","","","","","EMY warned that northwesterly winds will pick up during the day and reach 7 to 8 on the Beaufort scale.","The regions most affected will be the central and southeastern Aegean, the Icarian and Cretan Seas and the Strait of Kafireas (south of Evia).","","","","","","","","","","","","","","","EMY warned that northwesterly winds will pick up during the day and reach 7 to 8 on the Beaufort scale."
"53.html","BUSINESS","|","Construction shows signs of sustained recovery | Business | ekathimerini.com","Developed by EWORX S.A.","|","Construction showed signs of recovery in May, as the number of building permits shot up 7.4 percent, according to independent statistics agency ELSTAT.","Specifically, 1,453 building permits were issued in May, for an area totaling 268,900 square meters.","","","","","","","","","","","","","","","","Specifically, 1,453 building permits were issued in May, for an area totaling 268,900 square meters.","","","","","","","","","","","","","","","","Specifically, 1,453 building permits were issued in May, for an area totaling 268,900 square meters."
